id_instancia,modelo,dataset,abordagem,status,status_avaliacao,resposta_final_extraida,referencia_curta,exact_match,numeric_match,symbolic_equivalence,answer_match_objetivo,answer_match,correta,metrica_objetiva,pontuacao_juiz,tipo_erro,confianca_juiz,truthfulness,informativeness,oracle_at_3,veredito_juiz_primario,veredito_juiz_posicao_reversa,veredito_juiz_secundario,human_veredito,human_truthfulness,human_informativeness,duracao_segundos,numero_chamadas_slm,input_tokens,output_tokens,total_tokens,tokens_per_second,model_total_duration_seconds,melhor_abordagem,ranking_abordagens,judge_model,secondary_judge_model,arquivo_origem
arc_0374,gemma4:e4b,ARC-Challenge,base,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,164.23,1,310,296,606,88.7109,31.675191,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,cot,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,173.65,1,327,526,853,89.5665,18.558226,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,gflow,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,190.07,3,977,1660,2637,89.5085,87.392166,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,for,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,187.09,1,408,1057,1465,89.0285,25.021809,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,base,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,167.04,1,181,231,412,89.5117,24.134165,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,cot,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,150.76,1,198,339,537,89.6948,22.620173,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,gflow,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,147.08,3,590,920,1510,90.07,68.298477,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,for,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,135.64,1,279,674,953,89.3642,24.059591,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,base,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,37.31,1,215,301,516,90.1761,17.277433,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,cot,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,46.7,1,232,475,707,90.0625,19.266326,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,gflow,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,145.92,3,692,1593,2285,89.6353,77.576888,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,for,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,150.28,1,313,820,1133,89.4045,28.84144,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,base,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,159.71,1,239,314,553,88.9174,34.180137,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,cot,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,143.21,1,256,442,698,89.2344,27.914153,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,gflow,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,175.78,3,764,1606,2370,89.2169,79.918166,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,for,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,178.84,1,337,858,1195,88.7061,24.654851,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,base,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,159.96,1,231,308,539,89.34,26.679924,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,cot,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,159.15,1,248,508,756,89.2499,23.563959,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,gflow,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,155.05,3,740,1362,2102,89.0549,59.330161,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,for,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,141.07,1,329,880,1209,89.0339,28.154707,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,base,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,135.24,1,220,402,622,89.4035,23.15564,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,cot,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,140.93,1,237,710,947,89.3251,24.163704,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,gflow,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,162.26,3,707,2699,3406,89.2242,92.048351,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,for,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,140.48,1,318,1000,1318,88.8618,31.579953,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,base,ok,ok,B,A,0,,,0,0,0,multiple_choice_match,0.0,conceitual,1.0,,,,0,0,,,,,174.83,1,227,519,746,85.8826,29.085475,cot,"[""cot"", ""for"", ""gflow"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,cot,ok,ok,A,A,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,181.3,1,244,809,1053,88.8342,27.108859,cot,"[""cot"", ""for"", ""gflow"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,gflow,ok,ok,B,A,0,,,0,0,0,multiple_choice_match,0.0,conceitual,1.0,,,1,0,0,,,,,208.37,3,728,2302,3030,89.2061,97.0794,cot,"[""cot"", ""for"", ""gflow"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,for,ok,ok,B,A,0,,,0,0,0,multiple_choice_match,0.0,conceitual,1.0,,,,0,0,,,,,187.72,1,325,818,1143,88.9891,29.564149,cot,"[""cot"", ""for"", ""gflow"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,base,ok,ok,$221,221,0,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,154.49,1,192,154,346,90.3379,20.689969,empate,"[""base"", ""for"", ""cot"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,cot,ok,ok,$221,221,0,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,41.33,1,209,357,566,91.0049,16.620045,empate,"[""base"", ""for"", ""cot"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,gflow,ok,ok,221,221,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,1,1,1,,,,,105.59,3,623,1359,1982,90.6078,64.32293,empate,"[""base"", ""for"", ""cot"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,for,ok,ok,221,221,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,52.71,1,290,532,822,90.1444,18.822266,empate,"[""base"", ""for"", ""cot"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,base,ok,ok,33,33,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,164.67,1,215,359,574,90.3736,20.177554,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,cot,ok,ok,33,33,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,138.7,1,232,643,875,90.1715,17.676499,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,gflow,ok,ok,33,33,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,1,1,1,,,,,162.55,3,692,2535,3227,90.0211,109.066608,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,for,ok,ok,33,33,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,157.58,1,313,693,1006,89.3911,31.150126,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,base,ok,ok,6,6,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,152.53,1,212,341,553,90.4534,14.703444,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,cot,ok,ok,6,6,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,178.18,1,229,507,736,89.9937,28.694665,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,gflow,ok,ok,6,6,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,1,1,1,,,,,173.36,3,683,2035,2718,89.8403,98.997618,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,for,ok,ok,6,6,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,157.66,1,310,620,930,90.0768,22.578657,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,base,ok,ok,$120,120,0,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,185.55,1,203,312,515,90.6151,22.410646,empate,"[""for"", ""gflow"", ""cot"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,cot,ok,ok,$120,120,0,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,150.5,1,220,671,891,90.4107,22.913991,empate,"[""for"", ""gflow"", ""cot"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,gflow,ok,ok,120,120,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,1,1,1,,,,,164.83,3,656,2513,3169,89.9242,89.431805,empate,"[""for"", ""gflow"", ""cot"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,for,ok,ok,120,120,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,187.27,1,301,832,1133,89.6357,31.182677,empate,"[""for"", ""gflow"", ""cot"", ""base""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,base,ok,ok,8,8,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,160.54,1,212,190,402,90.7162,24.416299,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,cot,ok,ok,8,8,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,171.54,1,229,325,554,89.9778,21.997362,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,gflow,ok,ok,8,8,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,1,1,1,,,,,139.28,3,683,1557,2240,90.1953,82.402233,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,for,ok,ok,8,8,1,1,,1,1,1,numeric_match,1.0,nenhum,1.0,,,,1,1,,,,,151.2,1,310,566,876,89.7323,28.401817,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
