id_instancia,modelo,dataset,abordagem,status,status_avaliacao,resposta_final_extraida,referencia_curta,exact_match,numeric_match,symbolic_equivalence,answer_match_objetivo,answer_match,correta,metrica_objetiva,fonte_avaliacao_principal,necessita_llm_juiz,pontuacao_juiz,tipo_erro,confianca_juiz,truthfulness,informativeness,oracle_at_3,veredito_juiz_primario,veredito_juiz_posicao_reversa,veredito_juiz_secundario,human_veredito,human_truthfulness,human_informativeness,duracao_segundos,numero_chamadas_slm,input_tokens,output_tokens,total_tokens,tokens_per_second,model_total_duration_seconds,melhor_abordagem,ranking_abordagens,judge_model,secondary_judge_model,arquivo_origem
arc_0014,gemma4:e4b,ARC-Challenge,for,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,196.02,1,282,733,1015,98.7437,21.782129,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,base,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,123.63,1,196,214,410,99.0023,17.136681,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,cot,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,152.2,1,213,362,575,98.7811,50.921865,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,gflow,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,199.99,3,635,1278,1913,99.0588,107.139922,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,for,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,193.89,1,294,549,843,98.6454,27.318173,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,base,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,33.43,1,193,296,489,89.9705,22.262349,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,cot,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,51.43,1,210,502,712,89.7733,17.989533,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,gflow,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,185.08,3,626,1967,2593,89.7744,84.357575,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,for,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,201.15,1,291,771,1062,89.5701,20.111006,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,114.63,1,246,377,623,99.0876,21.230732,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,140.26,1,263,591,854,99.4104,19.162728,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,214.77,3,785,2008,2793,99.1691,96.486474,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,204.49,1,344,619,963,98.9699,40.037939,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,136.9,1,184,302,486,99.3706,23.915766,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,140.5,1,201,463,664,98.8165,16.661349,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,125.49,3,599,1884,2483,98.8555,64.691414,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,143.12,1,282,779,1061,98.6013,18.925064,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,118.36,1,236,369,605,98.844,17.606274,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,169.35,1,253,486,739,98.823,22.683879,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,186.53,3,755,1699,2454,98.9063,91.704735,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,134.29,1,334,837,1171,98.6167,20.496736,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,base,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,171.99,1,197,255,452,99.2872,22.86482,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,cot,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,118.41,1,214,515,729,99.0331,21.722341,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,gflow,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,119.99,3,638,1692,2330,99.1099,69.224378,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,for,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,175.9,1,295,717,1012,98.9254,20.756466,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,141.58,1,195,314,509,99.0908,23.714876,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,127.98,1,212,473,685,99.0305,15.281354,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,137.79,3,632,1936,2568,99.063,74.260263,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,170.75,1,293,962,1255,98.6671,35.28206,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,base,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,144.72,1,197,249,446,99.3824,22.319062,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,cot,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,134.82,1,214,493,707,99.2274,34.672246,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,gflow,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,143.0,3,638,1675,2313,99.1727,78.501299,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,for,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,216.13,1,295,920,1215,98.7984,24.1446,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,base,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,148.64,1,226,323,549,98.9731,18.114228,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,cot,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,156.06,1,243,485,728,98.9855,18.938599,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,gflow,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,119.83,3,725,1683,2408,98.8846,70.202029,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,for,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,151.25,1,324,797,1121,98.5264,21.265528,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,base,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,154.31,1,204,215,419,99.1063,21.153102,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,cot,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,136.49,1,221,504,725,98.7128,27.58891,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,gflow,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,165.47,3,659,1766,2425,98.7936,80.191056,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,for,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,172.78,1,302,735,1037,98.5109,22.550734,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,base,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,183.51,1,186,214,400,99.339,16.592946,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,cot,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,106.09,1,203,382,585,99.0098,14.884397,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,gflow,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,111.68,3,605,1355,1960,99.1478,59.09338,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,for,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,184.08,1,284,633,917,98.91,19.478634,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,base,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,173.92,1,244,309,553,98.5523,28.086739,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,cot,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,140.71,1,261,449,710,98.791,22.481212,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,gflow,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,123.56,3,779,1522,2301,98.7914,73.471003,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,for,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,157.44,1,342,890,1232,98.5621,42.450088,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,base,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,106.05,1,191,204,395,99.3759,16.307212,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,cot,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,120.44,1,208,411,619,99.1107,17.643223,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,gflow,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,139.57,3,620,1298,1918,99.0098,72.447824,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,for,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,148.18,1,289,806,1095,98.6027,30.48403,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,base,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,131.38,1,203,358,561,98.9419,18.063151,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,cot,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,137.92,1,220,828,1048,98.9106,36.356242,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,gflow,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,207.6,3,656,2432,3088,99.0777,112.978131,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,for,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,198.61,1,301,1054,1355,98.7724,33.782889,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,117.2,1,223,258,481,99.578,19.559909,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,148.42,1,240,449,689,99.0739,20.691057,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,157.74,3,716,1363,2079,99.3267,65.798836,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,118.64,1,321,682,1003,99.0748,18.077682,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,base,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,154.98,1,236,378,614,99.11,17.557611,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,cot,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,137.18,1,253,545,798,98.94,20.309612,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
