modelo,dataset,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,delta_acuracia_vs_base,gain_per_extra_call,condicao
gemma4:e4b,GSM8K,for,100,100,0,0,100,91,0.91,0.91,0.85,0.96,0.73,100,,0,,0,,0,,0,0.0,154.9689,15496.89,1.0,100,308.8,822.77,97.6376,0.005872,-0.01,,gemma4:e4b / for
gemma4:e4b,GSM8K,gflow,100,100,0,0,100,92,0.92,0.92,0.87,0.97,0.71,100,,0,,0,,0,0.93,100,1.0,154.1841,15418.41,3.0,300,679.4,2156.84,97.7401,0.005967,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,truthfulqa/truthful_qa,base,100,100,0,28,72,47,0.6528,0.6528,0.5417,0.7639,0.01,100,,0,0.6667,72,0.5972,72,,0,0.6528,140.3702,14037.02,1.0,100,181.88,323.28,98.5339,0.004651,0.0,,gemma4:e4b / base
gemma4:e4b,truthfulqa/truthful_qa,cot,100,100,0,28,72,45,0.625,0.625,0.5139,0.7361,0.01,100,,0,0.6389,72,0.5694,72,,0,0.625,138.9794,13897.94,1.0,100,190.88,500.15,98.3164,0.004497,-0.0278,,gemma4:e4b / cot
gemma4:e4b,truthfulqa/truthful_qa,for,100,100,0,28,72,47,0.6528,0.6528,0.5417,0.7639,0.01,100,,0,0.6667,72,0.625,72,,0,0.6528,144.1221,14412.21,1.0,100,266.88,856.42,98.0545,0.004529,0.0,,gemma4:e4b / for
gemma4:e4b,truthfulqa/truthful_qa,gflow,100,100,0,28,72,43,0.5972,0.5972,0.4861,0.7083,0.01,100,,0,0.6111,72,0.5833,72,0.6667,72,0.6042,149.0392,14903.92,3.0,300,537.64,1849.82,98.4036,0.004007,-0.0556,-0.0278,gemma4:e4b / gflow
nvidia/Nemotron-Labs-Diffusion-3B,ARC-Challenge,base,100,100,0,0,100,83,0.83,0.83,0.76,0.9,0.8,100,,0,,0,,0,,0,0.5,2.0793,207.93,1.0,100,205.61,9.91,5.0861,0.399173,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
nvidia/Nemotron-Labs-Diffusion-3B,EleutherAI/hendrycks_math,base,100,100,0,1,99,12,0.1212,0.1212,0.0606,0.1919,0.09,100,0.1341,82,,0,,0,,0,0.0909,4.1689,416.89,1.0,100,233.7,16.45,3.9674,0.029072,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
nvidia/Nemotron-Labs-Diffusion-3B,GSM8K,base,100,100,0,0,100,19,0.19,0.19,0.12,0.27,0.15,100,,0,,0,,0,,0,,2.4443,244.43,1.0,100,209.1,12.5,5.308,0.077732,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
nvidia/Nemotron-Labs-Diffusion-3B,truthfulqa/truthful_qa,base,100,100,0,1,99,44,0.4444,0.4444,0.3434,0.5455,0.02,100,,0,0.4747,99,0.4545,99,,0,0.4525,6.7511,675.11,1.0,100,185.08,15.72,2.4787,0.065826,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
