id_instancia,modelo,dataset,abordagem,status,status_avaliacao,resposta_final_extraida,referencia_curta,exact_match,numeric_match,symbolic_equivalence,answer_match_objetivo,answer_match,correta,metrica_objetiva,fonte_avaliacao_principal,necessita_llm_juiz,pontuacao_juiz,tipo_erro,confianca_juiz,truthfulness,informativeness,oracle_at_3,veredito_juiz_primario,veredito_juiz_posicao_reversa,veredito_juiz_secundario,human_veredito,human_truthfulness,human_informativeness,duracao_segundos,numero_chamadas_slm,input_tokens,output_tokens,total_tokens,tokens_per_second,model_total_duration_seconds,melhor_abordagem,ranking_abordagens,judge_model,secondary_judge_model,arquivo_origem
arc_0822,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,145.92,3,692,1593,2285,89.6353,77.576888,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,150.28,1,313,820,1133,89.4045,28.84144,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,159.71,1,239,314,553,88.9174,34.180137,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,143.21,1,256,442,698,89.2344,27.914153,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,175.78,3,764,1606,2370,89.2169,79.918166,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,178.84,1,337,858,1195,88.7061,24.654851,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,base,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,159.96,1,231,308,539,89.34,26.679924,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,cot,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,159.15,1,248,508,756,89.2499,23.563959,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,gflow,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,155.05,3,740,1362,2102,89.0549,59.330161,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,for,ok,,D,D,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,141.07,1,329,880,1209,89.0339,28.154707,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,base,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,135.24,1,220,402,622,89.4035,23.15564,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,cot,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,140.93,1,237,710,947,89.3251,24.163704,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,gflow,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,162.26,3,707,2699,3406,89.2242,92.048351,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1035,gemma4:e4b,ARC-Challenge,for,ok,,B,B,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,140.48,1,318,1000,1318,88.8618,31.579953,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,base,ok,,B,A,0,,,0,0,0,multiple_choice_match,deterministica,False,,,,,,,,,,,,,174.83,1,227,519,746,85.8826,29.085475,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,cot,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,181.3,1,244,809,1053,88.8342,27.108859,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,gflow,ok,,B,A,0,,,0,0,0,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,208.37,3,728,2302,3030,89.2061,97.0794,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_1080,gemma4:e4b,ARC-Challenge,for,ok,,B,A,0,,,0,0,0,multiple_choice_match,deterministica,False,,,,,,,,,,,,,187.72,1,325,818,1143,88.9891,29.564149,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,base,ok,,$221,221,0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,154.49,1,192,154,346,90.3379,20.689969,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,cot,ok,,$221,221,0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,41.33,1,209,357,566,91.0049,16.620045,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,gflow,ok,,221,221,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,105.59,3,623,1359,1982,90.6078,64.32293,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0072,gemma4:e4b,GSM8K,for,ok,,221,221,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,52.71,1,290,532,822,90.1444,18.822266,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,base,ok,,33,33,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,164.67,1,215,359,574,90.3736,20.177554,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,cot,ok,,33,33,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,138.7,1,232,643,875,90.1715,17.676499,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,gflow,ok,,33,33,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,162.55,3,692,2535,3227,90.0211,109.066608,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0226,gemma4:e4b,GSM8K,for,ok,,33,33,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,157.58,1,313,693,1006,89.3911,31.150126,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,base,ok,,6,6,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,152.53,1,212,341,553,90.4534,14.703444,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,cot,ok,,6,6,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,178.18,1,229,507,736,89.9937,28.694665,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,gflow,ok,,6,6,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,173.36,3,683,2035,2718,89.8403,98.997618,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0464,gemma4:e4b,GSM8K,for,ok,,6,6,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,157.66,1,310,620,930,90.0768,22.578657,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,base,ok,,$120,120,0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,185.55,1,203,312,515,90.6151,22.410646,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,cot,ok,,$120,120,0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,150.5,1,220,671,891,90.4107,22.913991,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,gflow,ok,,120,120,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,164.83,3,656,2513,3169,89.9242,89.431805,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0666,gemma4:e4b,GSM8K,for,ok,,120,120,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,187.27,1,301,832,1133,89.6357,31.182677,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,base,ok,,8,8,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,160.54,1,212,190,402,90.7162,24.416299,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,cot,ok,,8,8,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,171.54,1,229,325,554,89.9778,21.997362,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,gflow,ok,,8,8,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,139.28,3,683,1557,2240,90.1953,82.402233,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0743,gemma4:e4b,GSM8K,for,ok,,8,8,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,151.2,1,310,566,876,89.7323,28.401817,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0819,gemma4:e4b,GSM8K,base,ok,,"$6,250","6,250",0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,155.57,1,203,202,405,90.5804,30.780329,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0819,gemma4:e4b,GSM8K,cot,ok,,6250,"6,250",0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,24.71,1,220,417,637,90.9356,21.119485,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0819,gemma4:e4b,GSM8K,gflow,ok,,"$6,250","6,250",0,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,75.19,3,656,2003,2659,90.2408,79.037627,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0819,gemma4:e4b,GSM8K,for,ok,,"$6,250","6,250",0,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,209.03,1,301,589,890,89.7073,32.771764,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0833,gemma4:e4b,GSM8K,base,ok,,40,40,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,187.63,1,220,387,607,90.1887,29.420905,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0833,gemma4:e4b,GSM8K,cot,ok,,40,40,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,148.29,1,237,600,837,90.2194,20.755637,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0833,gemma4:e4b,GSM8K,gflow,ok,,40,40,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,127.87,3,707,1987,2694,90.4065,73.609449,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0833,gemma4:e4b,GSM8K,for,ok,,40,40,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,150.98,1,318,765,1083,89.7176,26.695794,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0998,gemma4:e4b,GSM8K,base,ok,,50,50,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,3.59,1,225,293,518,91.2219,3.574094,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0998,gemma4:e4b,GSM8K,cot,ok,,50,50,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,162.83,1,242,615,857,89.9996,28.955814,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0998,gemma4:e4b,GSM8K,gflow,ok,,50,50,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,1,,,,,,,165.69,3,722,2058,2780,90.1039,86.26557,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_0998,gemma4:e4b,GSM8K,for,ok,,50,50,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,157.42,1,323,641,964,89.8891,27.360417,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_1052,gemma4:e4b,GSM8K,base,ok,,110,110,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,27.43,1,218,240,458,91.286,13.861506,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
gsm8k_1052,gemma4:e4b,GSM8K,cot,ok,,110,110,1,1,,1,1,1,numeric_match,deterministica,False,,,,,,,,,,,,,154.76,1,235,583,818,89.8392,31.721714,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
