id_instancia,modelo,dataset,abordagem,status,resposta_final_extraida,referencia_curta,veredito_deterministico,exact_match,numeric_match,symbolic_equivalence,metrica_deterministica,fonte_avaliacao_recomendada,necessita_llm_juiz,arquivo_origem
arc_0022,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0050,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0083,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0087,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0111,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0115,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0117,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0136,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0137,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0144,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0145,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0157,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0167,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0193,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0246,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0246,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0246,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0246,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0283,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0283,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0283,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0283,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0289,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0289,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0289,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0289,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0309,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0309,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0309,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0309,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0315,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0315,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0315,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0315,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0320,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0320,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
